Time,T Air,T Out,Daily Light Integral,Rad Out Sum,Blackout Screen,Energy Screen,Shading Screen,Vent Lee,Vent Wind,T Canopy,VPD Canopy,AH,AH Out,RH,RH Out,T Dew,CO2
2025-05-10,23.3509,15.534,33.7947,2369.2958,19.5729,39.2514,0,16.7708,6.434,22.8759,1.2049,12.5042,6.283,59.8338,52.5382,14.3624,499.9861
2025-05-11,23.8578,18.9417,33.219,2325.5689,11.066,35.9667,0,20.2951,7.1701,23.5911,1.1847,13.3149,8.2806,61.1915,53.5139,15.5262,476.8924
2025-05-12,23.5387,19.0462,26.1252,1636.756,8.5104,35.4007,0.2882,32.2396,10.8264,23.5767,0.8111,15.6097,11.5948,73.0757,71.0521,18.101,485.4549
2025-05-13,23.9598,19.8215,29.3847,1724.58,9.9965,37.1413,0,24.2569,10.4375,24.0112,0.687,17.1194,14.4934,79.3231,85.2361,19.8207,417.2743
2025-05-14,23.9339,19.3578,23.8509,1265.918,7.2195,36.9885,0.0697,19.6864,7.9024,24.0641,0.6768,17.3822,14.0254,80.0755,85.007,20.0673,466.2195
2025-05-15,25.4209,23.117,32.7213,1592.8233,7.6632,36.7802,0,10.0694,3.3785,24.8937,0.6739,18.3906,15.5826,77.7097,76.4028,21.053,407.684
2025-05-16,26.389,23.6962,30.0792,1395.1994,2.7326,25.8722,3.4896,14.1458,8.3125,25.8339,0.7711,18.7417,15.8622,76.3663,74.3854,21.4524,397.625
2025-05-17,23.9825,19.0177,29.0547,1515.3618,6.4132,35.734,10.9896,34.625,14.4062,23.6087,0.7506,16.3333,11.2156,74.8088,69.6944,18.9355,418.3368
2025-05-18,23.4134,18.175,27.5745,1519.5734,7.941,36.1438,12.7604,46.9965,14.8681,23.2437,0.7691,15.7191,9.6372,72.9454,62.7708,18.1801,440.5417
2025-05-19,22.8227,16.367,29.7156,1854.9886,14.024,36.984,19.4444,24.0868,6.0938,22.7127,0.8081,14.8781,9.1601,70.6484,67.1701,17.2179,451.7847
2025-05-20,20.9363,12.7649,22.0977,765.18,24.8889,38.4424,0,16.7188,2.5799,21.0408,0.6163,13.9094,8.9674,75.4361,79.6319,16.2445,538.566
2025-05-21,21.5763,15.5146,20.9514,859.518,12.5104,39.6597,0,31.6944,10.8785,22.0882,0.5244,16.0712,11.7535,82.7147,89.0799,18.6445,462.2708
2025-05-22,21.6682,11.3858,22.3401,769.2055,41.8767,45.8399,0,3.2951,1.2326,21.9707,0.5465,15.3764,8.4271,80.7065,82.3125,18.0482,656.6354
2025-05-23,21.6662,11.5924,17.1138,1100.9148,33.6979,42.3882,1.9792,16.7778,7.4653,21.6523,0.607,14.8153,6.8097,76.9743,66.3264,17.3089,527.1597
2025-05-24,22.6243,13.2639,20.8176,1637.5007,37.2986,42.7431,19.6875,14.3993,6.4132,22.5315,0.6618,15.6007,6.7764,75.9757,60.9062,18.0854,467.2257
2025-05-25,21.7459,14.1705,14.8197,975.288,29.1667,41.6243,4.2882,24.7778,9.1458,21.3743,0.5524,14.9083,7.316,76.6019,62.5174,17.3598,470.7743
2025-05-26,22.1836,15.784,22.7622,1780.3675,22.0069,41.5795,17.3785,18.3819,7.4062,21.9975,0.69,14.8726,7.0924,74.3359,54.625,17.2708,440.9757
2025-05-27,22.0709,14.7906,23.7678,850.986,39.3566,41.7983,0,6.0451,2.7396,22.2774,0.5787,15.4573,9.7816,79.3593,77.8229,18.1399,534.3611
2025-05-28,22.4525,14.3417,21.4035,669.5607,32.1868,40.2524,0,23.6944,10.1354,23.1565,0.4888,17.4649,11.45,85.9967,93.0104,20.0564,533.0278
2025-05-29,23.5539,18.4118,31.0479,1559.1092,29.9826,40.5201,12.2222,23.0278,9.0799,24.0461,0.6633,17.4344,11.3785,80.9855,75.0417,20.0441,459.7431
2025-05-30,22.5694,15.4927,20.9262,644.5947,29.9597,41.984,0,11.9306,4.3958,23.1357,0.5103,16.9247,11.4271,84.2531,86.9618,19.6536,661.809
2025-05-31,23.011,15.1003,28.4322,1698.21,33.1319,40.3951,14.6354,27.8194,13.1632,23.2814,0.632,16.7003,8.2844,81.0338,65.7882,19.3455,466.6632
2025-06-01,23.3455,13.9312,29.721,1876.5352,33.5694,40.3174,18.1771,15.4375,6.3125,23.5929,0.7367,16.3715,6.3316,76.3029,57.1007,18.9006,516.7674
2025-06-02,23.7761,17.5219,28.8669,1928.4499,29.6632,39.1271,20.3299,17.816,6.7465,23.5185,0.8613,15.1306,6.6403,70.1554,49.8229,17.6706,475.5312
